id,name,tier,engine,emulated,dataset,level,status,input_bytes,archive_bytes,ratio_pct,compress_s_median,decompress_s_median,compress_rss_bytes,verify
apple-archive,"Apple Archive (.aar, lzfse)",A,native,False,documents,default,ok,15493604,15494298,100.004,0.055,0.042,37879808,6 files verified against manifest
ar,"ar (appendix: unix archiver, store-only)",A,native,False,documents,default,ok,15493604,15503428,100.063,0.081,0.051,1228800,decompressed tar SHA-256 matches canonical tar
arc-sea,"ARC (SEA, 1985)",B,native,False,documents,default,ok,15493604,21161030,136.579,0.439,0.109,1966080,decompressed tar SHA-256 matches canonical tar
arj,ARJ (1991),B,native,False,documents,default,ok,15493604,15401980,99.409,0.149,0.117,2129920,6 files verified against manifest
arj,ARJ (1991),B,native,False,documents,max,ok,15493604,15401965,99.409,0.154,0.121,2244608,6 files verified against manifest
cab,"CAB (gcab, MSZIP)",A,native,False,documents,default,ok,15493604,15406575,99.438,0.236,0.043,16252928,6 files verified against manifest
cpio,cpio (appendix: store-only),A,native,False,documents,default,ok,15493604,15494656,100.007,0.101,0.04,3227648,6 files verified against manifest
dar,dar (Disk ARchive),A,native,False,documents,default,ok,15493604,15398739,99.388,0.421,0.114,11763712,6 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,documents,default,ok,15493604,15765337,101.754,5.075,0.313,6569984,6 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,documents,max,ok,15493604,15759173,101.714,5.076,0.295,6635520,6 files verified against manifest
dmg-ulmo,"DMG (ULMO, lzma-compressed image)",A,native,False,documents,default,ok,15493604,15706786,101.376,6.079,0.49,6602752,6 files verified against manifest
freeze,freeze (1993),B,native,False,documents,default,ok,15493604,15424652,99.555,1.248,1.051,1949696,decompressed tar SHA-256 matches canonical tar
ha,"HA (1993, PPM-family)",B,native,False,documents,default,ok,15493604,15503401,100.063,1.298,0.115,1949696,decompressed tar SHA-256 matches canonical tar
iso,"ISO 9660 (mkisofs, store-only)",A,native,False,documents,default,ok,15493604,15869952,102.429,0.024,0.034,6471680,6 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,documents,default,ok,15493604,15402505,99.412,0.668,0.264,2228224,6 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,documents,max,ok,15493604,15396229,99.372,1.007,0.135,2457600,6 files verified against manifest
pax,pax (appendix: POSIX archiver),A,native,False,documents,default,ok,15493604,15503360,100.063,0.047,0.041,1622016,6 files verified against manifest
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,documents,default,ok,15493604,15396223,99.371,30.367,0.121,153288704,decompressed tar SHA-256 matches canonical tar
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,documents,max,ok,15493604,15395354,99.366,32.704,0.114,153419776,decompressed tar SHA-256 matches canonical tar
rar4,RAR 4 (legacy format),A,native,False,documents,default,ok,15493604,15397675,99.381,0.209,0.057,122077184,6 files verified against manifest
rar4,RAR 4 (legacy format),A,native,False,documents,max,ok,15493604,15397648,99.381,0.204,0.057,122077184,6 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,documents,default,ok,15493604,15400341,99.398,0.221,0.048,159170560,6 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,documents,max,ok,15493604,15400313,99.398,0.213,0.044,160153600,6 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,documents,default,ok,15493604,9260760,59.772,0.644,0.101,182304768,6 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,documents,max,ok,15493604,9260496,59.77,0.723,0.103,182321152,6 files verified against manifest
shar,shar (appendix: shell archive),A,native,False,documents,default,failed,15493604,,,,,,
squashfs,SquashFS (mksquashfs),A,native,False,documents,default,ok,15493604,15400960,99.402,0.06,0.033,49315840,6 files verified against manifest
tar,"tar (uncompressed, baseline)",A,native,False,documents,default,ok,15493604,15499264,100.037,0.037,0.03,3342336,6 files verified against manifest
tar-br,tar.br (Brotli),A,native,False,documents,default,ok,15493604,9239700,59.636,10.567,0.07,170835968,decompressed tar SHA-256 matches canonical tar
tar-bz2,tar.bz2 (bzip2),A,native,False,documents,default,ok,15493604,15453958,99.744,1.156,0.58,7995392,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,documents,default,ok,15493604,11398742,73.571,1.782,1.707,102219776,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,documents,max,ok,15493604,11398742,73.571,2.029,2.142,1616543744,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,documents,default,ok,15493604,15399419,99.392,0.277,0.018,1949696,decompressed tar SHA-256 matches canonical tar
